data_hora,entrada_id_raw,entrada_prazo_raw,entrada_taxa_raw,entrada_produto_raw,entrada_convenio_raw,saida_produto,saida_convenio,saida_familia,saida_grupo,confianca,aprovado,corrigido_para
2025-12-11T22:12:57.717913,2807,96,1.64,REFIN PORT - GOV SP - SPPREV - 1.64%,Gov. SP,REFIN PORT - GOV SP - SPPREV - 1.64%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.725082,2808,96,1.75,REFIN PORT - GOV SP - SPPREV - 1.75%,Gov. SP,REFIN PORT - GOV SP - SPPREV - 1.75%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.727239,2809,96,1.96,REFIN PORT - GOV SP - SPPREV - 1.96%,Gov. SP,REFIN PORT - GOV SP - SPPREV - 1.96%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.732506,2810,96,1.99,REFIN PORT - GOV SP - SPPREV - 1.99%,Gov. SP,REFIN PORT - GOV SP - SPPREV - 1.99%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.736509,2811,96,2.09,REFIN PORT - GOV SP - SPPREV - 2.09%,Gov. SP,REFIN PORT - GOV SP - SPPREV - 2.09%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.740508,2812,96,2.19,REFIN PORT - GOV SP - SPPREV - 2.19%,Gov. SP,REFIN PORT - GOV SP - SPPREV - 2.19%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.744512,2813,96,2.29,REFIN PORT - GOV SP - SPPREV - 2.29%,Gov. SP,REFIN PORT - GOV SP - SPPREV - 2.29%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.748509,2814,96,2.39,REFIN PORT - GOV SP - SPPREV - 2.39%,Gov. SP,REFIN PORT - GOV SP - SPPREV - 2.39%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.752503,2815,96,2.5,REFIN PORT - GOV SP - SPPREV - 2.50%,Gov. SP,REFIN PORT - GOV SP - SPPREV - 2.50%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.756511,2823,96,1.7,REFIN PORT - GOV TOCANTINS - 1.70%,Gov. TO,REFIN PORT - GOV TOCANTINS - 1.70%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.764113,2824,96,1.74,REFIN PORT - GOV TOCANTINS - 1.74%,Gov. TO,REFIN PORT - GOV TOCANTINS - 1.74%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.768159,2825,96,1.76,REFIN PORT - GOV TOCANTINS - 1.76%,Gov. TO,REFIN PORT - GOV TOCANTINS - 1.76%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.768159,2826,96,1.8,REFIN PORT - GOV TOCANTINS - 1.80%,Gov. TO,REFIN PORT - GOV TOCANTINS - 1.80%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.776324,2827,96,2,REFIN PORT - GOV TOCANTINS - 2.00%,Gov. TO,REFIN PORT - GOV TOCANTINS - 2.00%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.781594,2828,96,2.25,REFIN PORT - GOV TOCANTINS - 2.25%,Gov. TO,REFIN PORT - GOV TOCANTINS - 2.25%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.784596,2829,96,2.5,REFIN PORT - GOV TOCANTINS - 2.50%,Gov. TO,REFIN PORT - GOV TOCANTINS - 2.50%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.788595,2839,120,1.69,REFIN PORT - PREF SP - 1.69%,PREF. SP,REFIN PORT - PREF SP - 1.69%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.791593,2840,120,1.79,REFIN PORT - PREF SP - 1.79%,PREF. SP,REFIN PORT - PREF SP - 1.79%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.794590,2841,120,1.89,REFIN PORT - PREF SP - 1.89%,PREF. SP,REFIN PORT - PREF SP - 1.89%,PREF. SP,,,0.3,,
